m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
12, 	 384,	 0.49065,	 7.009, 	 137.247, 	 97.573, 	 0.568, 	 2.600, 	 3.168, 	 0.378, 	 140.415, 	 97.951
12, 	 384,	 0.49009,	 7.009, 	 137.346, 	 97.573, 	 0.450, 	 2.613, 	 3.063, 	 0.426, 	 140.409, 	 97.999

12, 	 384,	 0.49452,	 7.092, 	 136.552, 	 97.573, 	 1.474, 	 2.476, 	 3.950, 	 0.295, 	 140.501, 	 97.868
12, 	 384,	 0.49397,	 7.092, 	 136.650, 	 97.573, 	 1.231, 	 2.440, 	 3.671, 	 0.334, 	 140.321, 	 97.907
12, 	 384,	 0.49341,	 7.092, 	 136.749, 	 97.573, 	 1.015, 	 2.536, 	 3.551, 	 0.378, 	 140.300, 	 97.951
12, 	 384,	 0.49286,	 7.092, 	 136.848, 	 97.573, 	 0.827, 	 2.513, 	 3.340, 	 0.426, 	 140.188, 	 97.999
12, 	 384,	 0.49231,	 7.092, 	 136.948, 	 97.573, 	 0.666, 	 2.518, 	 3.184, 	 0.480, 	 140.132, 	 98.053
12, 	 384,	 0.49176,	 7.092, 	 137.047, 	 97.573, 	 0.531, 	 2.644, 	 3.175, 	 0.540, 	 140.222, 	 98.113
12, 	 384,	 0.49120,	 7.092, 	 137.147, 	 97.573, 	 0.419, 	 2.643, 	 3.062, 	 0.605, 	 140.209, 	 98.178

12, 	 384,	 0.49562,	 7.176, 	 136.355, 	 97.573, 	 1.401, 	 2.505, 	 3.905, 	 0.425, 	 140.260, 	 97.998
12, 	 384,	 0.49507,	 7.176, 	 136.453, 	 97.573, 	 1.165, 	 2.575, 	 3.740, 	 0.480, 	 140.193, 	 98.052
12, 	 384,	 0.49452,	 7.176, 	 136.552, 	 97.573, 	 0.957, 	 2.540, 	 3.497, 	 0.539, 	 140.048, 	 98.112
12, 	 384,	 0.49397,	 7.176, 	 136.650, 	 97.573, 	 0.777, 	 2.587, 	 3.364, 	 0.605, 	 140.014, 	 98.178
12, 	 384,	 0.49341,	 7.176, 	 136.749, 	 97.573, 	 0.623, 	 2.631, 	 3.254, 	 0.677, 	 140.004, 	 98.250
12, 	 384,	 0.49286,	 7.176, 	 136.848, 	 97.573, 	 0.495, 	 2.725, 	 3.220, 	 0.755, 	 140.069, 	 98.328
12, 	 384,	 0.49231,	 7.176, 	 136.948, 	 97.573, 	 0.390, 	 2.660, 	 3.051, 	 0.840, 	 139.998, 	 98.413
12, 	 384,	 0.49176,	 7.176, 	 137.047, 	 97.573, 	 0.305, 	 2.721, 	 3.026, 	 0.932, 	 140.073, 	 98.505
12, 	 384,	 0.49120,	 7.176, 	 137.147, 	 97.573, 	 0.237, 	 2.779, 	 3.016, 	 1.031, 	 140.162, 	 98.603

12, 	 384,	 0.49617,	 7.259, 	 136.257, 	 97.573, 	 1.102, 	 2.581, 	 3.683, 	 0.675, 	 139.940, 	 98.248
12, 	 384,	 0.49562,	 7.259, 	 136.355, 	 97.573, 	 0.902, 	 2.581, 	 3.483, 	 0.754, 	 139.838, 	 98.326
12, 	 384,	 0.49507,	 7.259, 	 136.453, 	 97.573, 	 0.730, 	 2.636, 	 3.366, 	 0.839, 	 139.819, 	 98.412
12, 	 384,	 0.49452,	 7.259, 	 136.552, 	 97.573, 	 0.584, 	 2.705, 	 3.289, 	 0.931, 	 139.840, 	 98.504
12, 	 384,	 0.49397,	 7.259, 	 136.650, 	 97.573, 	 0.462, 	 2.717, 	 3.179, 	 1.030, 	 139.830, 	 98.603

12, 	 384,	 0.49781,	 7.342, 	 135.965, 	 97.573, 	 1.262, 	 2.605, 	 3.866, 	 0.836, 	 139.832, 	 98.408
12, 	 384,	 0.49727,	 7.342, 	 136.062, 	 97.573, 	 1.042, 	 2.642, 	 3.684, 	 0.928, 	 139.746, 	 98.501
12, 	 384,	 0.49672,	 7.342, 	 136.159, 	 97.573, 	 0.850, 	 2.651, 	 3.501, 	 1.027, 	 139.660, 	 98.600
12, 	 384,	 0.49617,	 7.342, 	 136.257, 	 97.573, 	 0.685, 	 2.713, 	 3.398, 	 1.133, 	 139.655, 	 98.706
12, 	 384,	 0.49562,	 7.342, 	 136.355, 	 97.573, 	 0.546, 	 2.697, 	 3.243, 	 1.246, 	 139.598, 	 98.819
12, 	 384,	 0.49507,	 7.342, 	 136.453, 	 97.573, 	 0.432, 	 2.750, 	 3.181, 	 1.366, 	 139.634, 	 98.939
12, 	 384,	 0.49452,	 7.342, 	 136.552, 	 97.573, 	 0.338, 	 2.749, 	 3.087, 	 1.492, 	 139.639, 	 99.065

12, 	 384,	 0.49891,	 7.426, 	 135.773, 	 97.573, 	 1.195, 	 2.625, 	 3.820, 	 1.128, 	 139.593, 	 98.701
12, 	 384,	 0.49836,	 7.426, 	 135.869, 	 97.573, 	 0.983, 	 2.747, 	 3.730, 	 1.241, 	 139.599, 	 98.814
12, 	 384,	 0.49781,	 7.426, 	 135.965, 	 97.573, 	 0.799, 	 2.755, 	 3.554, 	 1.361, 	 139.519, 	 98.934
12, 	 384,	 0.49727,	 7.426, 	 136.062, 	 97.573, 	 0.642, 	 2.780, 	 3.423, 	 1.488, 	 139.485, 	 99.061
12, 	 384,	 0.49672,	 7.426, 	 136.159, 	 97.573, 	 0.511, 	 2.811, 	 3.322, 	 1.621, 	 139.481, 	 99.194
12, 	 384,	 0.49617,	 7.426, 	 136.257, 	 97.573, 	 0.403, 	 2.799, 	 3.202, 	 1.760, 	 139.458, 	 99.333
12, 	 384,	 0.49562,	 7.426, 	 136.355, 	 97.573, 	 0.315, 	 2.841, 	 3.155, 	 1.905, 	 139.510, 	 99.477
12, 	 384,	 0.49507,	 7.426, 	 136.453, 	 97.573, 	 0.245, 	 2.971, 	 3.216, 	 2.055, 	 139.669, 	 99.628

12, 	 384,	 0.50055,	 7.509, 	 135.490, 	 97.573, 	 1.360, 	 2.690, 	 4.050, 	 1.354, 	 139.540, 	 98.927
12, 	 384,	 0.50000,	 7.509, 	 135.584, 	 97.573, 	 1.130, 	 2.698, 	 3.828, 	 1.481, 	 139.412, 	 99.054
12, 	 384,	 0.49945,	 7.509, 	 135.678, 	 97.573, 	 0.927, 	 2.774, 	 3.701, 	 1.614, 	 139.379, 	 99.187
12, 	 384,	 0.49891,	 7.509, 	 135.773, 	 97.573, 	 0.751, 	 2.775, 	 3.526, 	 1.754, 	 139.299, 	 99.326
12, 	 384,	 0.49836,	 7.509, 	 135.869, 	 97.573, 	 0.602, 	 2.801, 	 3.403, 	 1.899, 	 139.272, 	 99.471
12, 	 384,	 0.49781,	 7.509, 	 135.965, 	 97.573, 	 0.477, 	 2.903, 	 3.380, 	 2.049, 	 139.345, 	 99.622
12, 	 384,	 0.49727,	 7.509, 	 136.062, 	 97.573, 	 0.375, 	 2.888, 	 3.263, 	 2.205, 	 139.325, 	 99.778

12, 	 384,	 0.50163,	 7.592, 	 135.307, 	 97.573, 	 1.287, 	 2.735, 	 4.022, 	 1.744, 	 139.329, 	 99.317
12, 	 384,	 0.50109,	 7.592, 	 135.398, 	 97.573, 	 1.066, 	 2.760, 	 3.826, 	 1.890, 	 139.224, 	 99.462
12, 	 384,	 0.50055,	 7.592, 	 135.490, 	 97.573, 	 0.872, 	 2.802, 	 3.674, 	 2.040, 	 139.164, 	 99.613
12, 	 384,	 0.50000,	 7.592, 	 135.584, 	 97.573, 	 0.704, 	 2.802, 	 3.506, 	 2.196, 	 139.090, 	 99.769
12, 	 384,	 0.49945,	 7.592, 	 135.678, 	 97.573, 	 0.563, 	 2.859, 	 3.422, 	 2.357, 	 139.100, 	 99.930
12, 	 384,	 0.49891,	 7.592, 	 135.773, 	 97.573, 	 0.445, 	 2.873, 	 3.319, 	 2.522, 	 139.092, 	 100.095

12, 	 384,	 0.50272,	 7.676, 	 135.128, 	 97.573, 	 1.215, 	 2.758, 	 3.973, 	 2.185, 	 139.101, 	 99.758
12, 	 384,	 0.50218,	 7.676, 	 135.217, 	 97.573, 	 1.003, 	 2.789, 	 3.793, 	 2.346, 	 139.009, 	 99.919
12, 	 384,	 0.50163,	 7.676, 	 135.307, 	 97.573, 	 0.818, 	 2.840, 	 3.658, 	 2.511, 	 138.965, 	 100.084
12, 	 384,	 0.50109,	 7.676, 	 135.398, 	 97.573, 	 0.659, 	 2.975, 	 3.635, 	 2.681, 	 139.033, 	 100.253
12, 	 384,	 0.50055,	 7.676, 	 135.490, 	 97.573, 	 0.526, 	 2.930, 	 3.456, 	 2.854, 	 138.946, 	 100.426
12, 	 384,	 0.50000,	 7.676, 	 135.584, 	 97.573, 	 0.415, 	 3.019, 	 3.434, 	 3.030, 	 139.018, 	 100.603
